job,NACE_category,Category_description
צה"ל,O,Public Administration and Defence
מרצה בכיר ודר,P,Education
מינהלן,N,Administrative and Support
בעל מוסך,G,Wholesale and Retail Trade; Repair Services
מטפלת בילדים,Q,Human Health and Social Work
שב"ס,O,Public Administration and Defence
מורת דרך,P,Education
נהנג אוטובוס,H,Transportation and Storage
פועל מפעל,C,Manufacturing
עצמאית בחול,T,Household and Self-Employed
הנח"ש,K,Financial and Insurance
עו"ס,Q,Human Health and Social Work
סניטר,Q,Human Health and Social Work
חקלאות מנהל,A,Agriculture Forestry and Fishing
ניהול קרן,K,Financial and Insurance
חקלאי אגרונום מנהל,A,Agriculture Forestry and Fishing
מנהל בבס,O,Public Administration and Defence
בחקלאות,A,Agriculture Forestry and Fishing
אחות מתנדבת,Q,Human Health and Social Work
ע"ד,M,Professional Scientific and Technical
בנין,F,Construction
חקלאי בעל משתלה,A,Agriculture Forestry and Fishing
עצמאי מיזוג אוויר,C,Manufacturing
עיתונאי,J,Information and Communication
ניהלה מרפאות חוץ,Q,Human Health and Social Work
מרצה סמנכל שיווק,M,Professional Scientific and Technical
נדל"ן,L,Real Estate
ניהול,N,Administrative and Support
צ"הל,O,Public Administration and Defence
בעל חנות,G,Wholesale and Retail Trade; Repair Services
בעל מכולת,G,Wholesale and Retail Trade; Repair Services
תחזוקה העיריית כס,O,Public Administration and Defence
בורסקאי מעבד עורות,C,Manufacturing
הנדסת יצור,C,Manufacturing
בעלת חנות,G,Wholesale and Retail Trade; Repair Services
בעלת מסעדה,I,Accommodation and Food
מטפלת במטב,Q,Human Health and Social Work
מנהל ביצוע קידוח,F,Construction
משרד תיכון,P,Education
משרד בטחון,O,Public Administration and Defence
משרד,M,Professional Scientific and Technical
משרד הבטחון,O,Public Administration and Defence
משרד הביטחון,O,Public Administration and Defence
משרד הנהלת חשבונות,M,Professional Scientific and Technical
