date,Releasing_Doctor,sum
06/01/2020,10255,18
07/01/2020,11294,8
07/01/2020,6861,6
07/01/2020,10831,13
07/01/2020,11673,4
07/01/2020,6770,4
07/01/2020,9703,3
07/01/2020,9458,2
07/01/2020,9574,5
07/01/2020,6885,10
07/01/2020,11040,1
07/01/2020,10886,2
07/01/2020,11761,1
07/01/2020,6777,7
07/01/2020,7680,6
07/01/2020,11350,5
07/01/2020,9851,2
07/01/2020,9749,1
07/01/2020,8082,4
07/01/2020,7233,2
07/01/2020,6773,18
07/01/2020,9975,2
07/01/2020,10127,1
07/01/2020,10408,6
07/01/2020,9352,5
07/01/2020,10262,24
07/01/2020,11439,7
07/01/2020,6892,6
07/01/2020,7725,6
07/01/2020,9262,3
07/01/2020,9893,1
07/01/2020,11365,2
07/01/2020,10202,7
07/01/2020,6774,1
07/01/2020,8958,5
07/01/2020,10016,1
07/01/2020,11760,16
07/01/2020,11640,1
07/01/2020,9487,2
07/01/2020,11473,4
07/01/2020,11670,13
07/01/2020,8301,6
07/01/2020,8907,13
07/01/2020,8075,4
07/01/2020,11762,1
08/01/2020,7306,8
08/01/2020,9893,3
08/01/2020,11688,9
08/01/2020,11497,6
08/01/2020,6769,6
08/01/2020,11611,1
08/01/2020,6796,10
08/01/2020,8234,9
08/01/2020,9971,10
08/01/2020,9330,4
08/01/2020,11640,5
08/01/2020,8236,1
08/01/2020,6775,21
08/01/2020,10262,5
08/01/2020,9851,3
08/01/2020,8979,4
08/01/2020,8907,1
08/01/2020,7624,4
08/01/2020,6861,4
08/01/2020,9262,2
08/01/2020,9792,5
08/01/2020,11439,2
08/01/2020,7993,8
08/01/2020,11414,2
08/01/2020,11174,3
08/01/2020,6774,5
08/01/2020,11473,7
08/01/2020,11797,3
08/01/2020,11794,1
08/01/2020,11673,18
08/01/2020,7233,1
08/01/2020,9762,15
08/01/2020,11229,4
08/01/2020,11760,1
08/01/2020,8256,3
08/01/2020,7680,1
08/01/2020,10255,13
08/01/2020,6884,8
08/01/2020,9352,1
08/01/2020,11250,1
09/01/2020,8447,1
09/01/2020,11497,5
09/01/2020,11360,8
09/01/2020,6726,3
09/01/2020,11673,1
09/01/2020,10561,8
09/01/2020,11670,4
09/01/2020,11640,2
09/01/2020,11688,2
09/01/2020,10127,4
09/01/2020,7680,1
09/01/2020,10202,4
09/01/2020,8301,5
09/01/2020,10831,12
09/01/2020,10923,11
09/01/2020,10211,3
09/01/2020,8073,3
09/01/2020,6773,14
09/01/2020,10255,3
09/01/2020,10590,4
09/01/2020,11350,6
09/01/2020,11760,6
09/01/2020,10537,9
09/01/2020,11473,6
09/01/2020,9762,1
09/01/2020,8388,1
09/01/2020,11514,4
09/01/2020,6769,1
09/01/2020,6777,4
09/01/2020,9792,2
09/01/2020,7993,6
09/01/2020,6770,5
09/01/2020,8958,4
09/01/2020,9073,8
09/01/2020,9729,10
09/01/2020,11816,4
09/01/2020,8979,11
09/01/2020,11612,11
09/01/2020,11616,11
09/01/2020,8082,4
09/01/2020,9971,3
09/01/2020,8706,5
09/01/2020,11174,4
09/01/2020,9352,2
09/01/2020,6774,13
09/01/2020,6888,12
09/01/2020,11758,1
10/01/2020,11360,2
10/01/2020,8979,22
10/01/2020,10408,8
10/01/2020,9262,1
10/01/2020,9436,1
10/01/2020,10487,9
10/01/2020,10211,1
10/01/2020,9487,6
10/01/2020,11632,13
10/01/2020,10923,25
10/01/2020,11630,5
10/01/2020,9073,1
10/01/2020,10371,1
10/01/2020,10170,12
10/01/2020,10537,4
10/01/2020,10831,2
10/01/2020,9762,8
10/01/2020,11646,15
10/01/2020,11637,9
10/01/2020,9585,14
10/01/2020,10202,1
10/01/2020,11440,8
10/01/2020,10590,1
10/01/2020,9792,10
10/01/2020,11616,3
10/01/2020,11674,9
10/01/2020,6769,9
10/01/2020,11497,5
10/01/2020,11612,2
10/01/2020,9729,3
11/01/2020,8706,7
11/01/2020,10408,8
11/01/2020,9762,26
11/01/2020,9749,2
11/01/2020,10923,15
11/01/2020,8907,17
11/01/2020,6777,10
11/01/2020,11646,2
11/01/2020,11370,11
11/01/2020,7680,7
11/01/2020,9352,8
11/01/2020,7233,4
11/01/2020,11644,15
11/01/2020,11632,1
11/01/2020,9330,1
11/01/2020,11611,15
11/01/2020,11515,8
11/01/2020,10831,15
11/01/2020,10170,2
11/01/2020,10487,3
11/01/2020,9703,4
11/01/2020,8979,3
11/01/2020,11119,12
11/01/2020,11674,2
11/01/2020,11291,13
11/01/2020,11610,1
11/01/2020,9487,1
12/01/2020,7233,3
12/01/2020,11119,3
12/01/2020,7680,5
12/01/2020,8907,3
12/01/2020,6769,2
12/01/2020,11673,9
12/01/2020,6774,6
12/01/2020,11497,5
12/01/2020,9262,6
12/01/2020,10262,5
12/01/2020,6771,3
12/01/2020,6775,8
12/01/2020,10465,3
12/01/2020,9851,11
12/01/2020,11611,3
12/01/2020,6777,18
12/01/2020,11688,11
12/01/2020,9909,6
12/01/2020,6927,15
12/01/2020,11761,7
12/01/2020,11291,3
12/01/2020,9762,3
12/01/2020,8301,6
12/01/2020,11790,13
12/01/2020,9660,17
12/01/2020,7624,3
12/01/2020,7306,1
12/01/2020,10255,16
12/01/2020,6726,2
12/01/2020,8958,5
12/01/2020,9703,2
12/01/2020,10211,4
12/01/2020,8256,2
12/01/2020,9330,4
12/01/2020,8706,1
12/01/2020,10408,3
12/01/2020,10886,5
12/01/2020,6861,5
12/01/2020,11757,8
12/01/2020,10590,1
12/01/2020,11350,8
12/01/2020,7725,7
12/01/2020,9972,12
12/01/2020,11473,10
12/01/2020,10811,8
12/01/2020,11662,1
12/01/2020,10774,5
12/01/2020,8082,3
12/01/2020,8979,9
12/01/2020,9893,3
12/01/2020,8234,9
13/01/2020,9975,8
13/01/2020,9972,4
13/01/2020,8201,4
13/01/2020,11288,13
13/01/2020,10831,10
13/01/2020,7905,3
